100 100
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99
11 11.0454 11.1803 11.4018 11.7047 12.083 12.53 13.0384 13.6015 14.2127 14.8661 15.5563 16.2788 17.0294 17.8045 18.6011 19.4165 20.2485 21.095 21.9545 22.8254 23.7065 24.5967 25.4951 26.4008 27.313 28.2312 29.1548 30.0832 31.0161 31.9531 32.8938 33.8378 34.7851 35.7351 36.6879 37.6431 38.6005 39.5601 40.5216 41.4849 42.45 43.4166 44.3847 45.3542 46.3249 47.2969 48.2701 49.2443 50.2195 51.1957 52.1728 53.1507 54.1295 55.109 56.0892 57.0701 58.0517 59.0339 60.0167 61 61.9839 62.9682 63.9531 64.9384 65.9242 66.9104 67.897 68.884 69.8713 70.859 71.8471 72.8354 73.8241 74.8131 75.8024 76.7919 77.7817 78.7718 79.7621 80.7527 81.7435 82.7345 83.7257 84.7172 85.7088 86.7006 87.6926 88.6848 89.6772 90.6697 91.6624 92.6553 93.6483 94.6414 95.6347 96.6282 97.6217 98.6154 99.6092
12 12.0416 12.1655 12.3693 12.6491 13 13.4164 13.8924 14.4222 15 15.6205 16.2788 16.9706 17.6918 18.4391 19.2094 20 20.8087 21.6333 22.4722 23.3238 24.1868 25.0599 25.9422 26.8328 27.7308 28.6356 29.5466 30.4631 31.3847 32.311 33.2415 34.176 35.1141 36.0555 37 37.9473 38.8973 39.8497 40.8044 41.7612 42.72 43.6807 44.643 45.607 46.5725 47.5395 48.5077 49.4773 50.448 51.4198 52.3927 53.3667 54.3415 55.3173 56.2939 57.2713 58.2495 59.2284 60.208 61.1882 62.1691 63.1506 64.1327 65.1153 66.0984 67.082 68.0661 69.0507 70.0357 71.0211 72.0069 72.9932 73.9797 74.9667 75.9539 76.9415 77.9295 78.9177 79.9062 80.895 81.8841 82.8734 83.863 84.8528 85.8429 86.8332 87.8237 88.8144 89.8053 90.7965 91.7878 92.7793 93.771 94.7629 95.7549 96.7471 97.7394 98.732 99.7246
13 13.0384 13.1529 13.3417 13.6015 13.9284 14.3178 14.7648 15.2643 15.8114 16.4012 17.0294 17.6918 18.3848 19.105 19.8494 20.6155 21.4009 22.2036 23.0217 23.8537 24.6982 25.5539 26.4197 27.2947 28.178 29.0689 29.9666 30.8707 31.7805 32.6956 33.6155 34.5398 35.4683 36.4005 37.3363 38.2753 39.2173 40.1622 41.1096 42.0595 43.0116 43.9659 44.9222 45.8803 46.8402 47.8017 48.7647 49.7293 50.6952 51.6624 52.6308 53.6004 54.5711 55.5428 56.5155 57.4891 58.4637 59.439 60.4152 61.3922 62.3699 63.3482 64.3273 65.307 66.2873 67.2681 68.2495 69.2315 70.214 71.1969 72.1803 73.1642 74.1485 75.1332 76.1183 77.1038 78.0897 79.0759 80.0625 81.0494 82.0366 83.0241 84.0119 85 85.9884 86.977 87.9659 88.955 89.9444 90.934 91.9239 92.9139 93.9042 94.8947 95.8853 96.8762 97.8673 98.8585 99.8499
14 14.0357 14.1421 14.3178 14.5602 14.8661 15.2315 15.6525 16.1245 16.6433 17.2047 17.8045 18.4391 19.105 19.799 20.5183 21.2603 22.0227 22.8035 23.6008 24.4131 25.2389 26.0768 26.9258 27.7849 28.6531 29.5296 30.4138 31.305 32.2025 33.1059 34.0147 34.9285 35.8469 36.7696 37.6962 38.6264 39.5601 40.4969 41.4367 42.3792 43.3244 44.2719 45.2217 46.1736 47.1275 48.0833 49.0408 50 50.9608 51.923 52.8867 53.8516 54.8179 55.7853 56.7539 57.7235 58.6941 59.6657 60.6383 61.6117 62.5859 63.561 64.5368 65.5134 66.4906 67.4685 68.4471 69.4262 70.406 71.3863 72.3671 73.3485 74.3303 75.3127 76.2955 77.2787 78.2624 79.2465 80.2309 81.2158 82.201 83.1865 84.1724 85.1587 86.1452 87.1321 88.1192 89.1067 90.0944 91.0824 92.0706 93.0591 94.0479 95.0368 96.026 97.0155 98.0051 98.9949 99.985
15 15.0333 15.1327 15.2971 15.5242 15.8114 16.1555 16.5529 17 17.4929 18.0278 18.6011 19.2094 19.8494 20.5183 21.2132 21.9317 22.6716 23.4307 24.2074 25 25.807 26.6271 27.4591 28.3019 29.1548 30.0167 30.8869 31.7648 32.6497 33.541 34.4384 35.3412 36.2491 37.1618 38.0789 39 39.9249 40.8534 41.7852 42.72 43.6578 44.5982 45.5412 46.4866 47.4342 48.3839 49.3356 50.2892 51.2445 52.2015 53.1601 54.1202 55.0818 56.0446 57.0088 57.9741 58.9406 59.9083 60.8769 61.8466 62.8172 63.7887 64.7611 65.7343 66.7083 67.6831 68.6586 69.6348 70.6116 71.5891 72.5672 73.5459 74.5252 75.505 76.4853 77.4661 78.4474 79.4292 80.4114 81.3941 82.3772 83.3607 84.3445 85.3288 86.3134 87.2983 88.2836 89.2693 90.2552 91.2414 92.228 93.2148 94.2019 95.1893 96.1769 97.1648 98.1529 99.1413 100.13
16 16.0312 16.1245 16.2788 16.4924 16.7631 17.088 17.4642 17.8885 18.3576 18.868 19.4165 20 20.6155 21.2603 21.9317 22.6274 23.3452 24.0832 24.8395 25.6125 26.4008 27.2029 28.0179 28.8444 29.6816 30.5287 31.3847 32.249 33.121 34 34.8855 35.7771 36.6742 37.5766 38.4838 39.3954 40.3113 41.2311 42.1545 43.0813 44.0114 44.9444 45.8803 46.8188 47.7598 48.7032 49.6488 50.5964 51.5461 52.4976 53.4509 54.4059 55.3624 56.3205 57.28 58.2409 59.203 60.1664 61.131 62.0967 63.0635 64.0312 65 65.9697 66.9403 67.9117 68.884 69.857 70.8308 71.8053 72.7805 73.7564 74.7329 75.71 76.6877 77.666 78.6448 79.6241 80.604 81.5843 82.5651 83.5464 84.5281 85.5102 86.4928 87.4757 88.459 89.4427 90.4268 91.4112 92.3959 93.3809 94.3663 95.352 96.3379 97.3242 98.3107 99.2975 100.285
17 17.0294 17.1172 17.2627 17.4642 17.72 18.0278 18.3848 18.7883 19.2354 19.7231 20.2485 20.8087 21.4009 22.0227 22.6716 23.3452 24.0416 24.7588 25.4951 26.2488 27.0185 27.8029 28.6007 29.4109 30.2324 31.0644 31.9061 32.7567 33.6155 34.4819 35.3553 36.2353 37.1214 38.0132 38.9102 39.8121 40.7185 41.6293 42.5441 43.4626 44.3847 45.31 46.2385 47.1699 48.1041 49.0408 49.98 50.9215 51.8652 52.811 53.7587 54.7083 55.6597 56.6127 57.5674 58.5235 59.4811 60.4401 61.4003 62.3618 63.3246 64.2884 65.2534 66.2193 67.1863 68.1542 69.1231 70.0928 71.0634 72.0347 73.0068 73.9797 74.9533 75.9276 76.9025 77.8781 78.8543 79.8311 80.8084 81.7863 82.7647 83.7437 84.7231 85.703 86.6833 87.6641 88.6454 89.627 90.6091 91.5915 92.5743 93.5575 94.541 95.5249 96.5091 97.4936 98.4784 99.4636 100.449
18 18.0278 18.1108 18.2483 18.4391 18.6815 18.9737 19.3132 19.6977 20.1246 20.5913 21.095 21.6333 22.2036 22.8035 23.4307 24.0832 24.7588 25.4558 26.1725 26.9072 27.6586 28.4253 29.2062 30 30.8058 31.6228 32.45 33.2866 34.1321 34.9857 35.8469 36.7151 37.5899 38.4708 39.3573 40.2492 41.1461 42.0476 42.9535 43.8634 44.7772 45.6946 46.6154 47.5395 48.4665 49.3964 50.3289 51.264 52.2015 53.1413 54.0833 55.0273 55.9732 56.921 57.8705 58.8218 59.7746 60.7289 61.6847 62.6418 63.6003 64.56 65.521 66.4831 67.4463 68.4105 69.3758 70.342 71.3092 72.2772 73.2462 74.2159 75.1864 76.1577 77.1298 78.1025 79.0759 80.05 81.0247 82 82.9759 83.9524 84.9294 85.9069 86.885 87.8635 88.8426 89.822 90.802 91.7824 92.7631 93.7443 94.7259 95.7079 96.6902 97.6729 98.656 99.6393 100.623
19 19.0263 19.105 19.2354 19.4165 19.6469 19.9249 20.2485 20.6155 21.0238 21.4709 21.9545 22.4722 23.0217 23.6008 24.2074 24.8395 25.4951 26.1725 26.8701 27.5862 28.3196 29.0689 29.8329 30.6105 31.4006 32.2025 33.0151 33.8378 34.6699 35.5106 36.3593 37.2156 38.0789 38.9487 39.8246 40.7063 41.5933 42.4853 43.382 44.2832 45.1885 46.0977 47.0106 47.927 48.8467 49.7695 50.6952 51.6236 52.5547 53.4883 54.4243 55.3624 56.3028 57.2451 58.1893 59.1354 60.0833 61.0328 61.9839 62.9365 63.8905 64.846 65.8027 66.7608 67.72 68.6804 69.6419 70.6045 71.5681 72.5328 73.4983 74.4648 75.4321 76.4003 77.3692 78.339 79.3095 80.2808 81.2527 82.2253 83.1986 84.1724 85.1469 86.122 87.0976 88.0738 89.0505 90.0278 91.0055 91.9837 92.9624 93.9415 94.921 95.901 96.8814 97.8621 98.8433 99.8248 100.807
20 20.025 20.0998 20.2237 20.3961 20.6155 20.8806 21.1896 21.5407 21.9317 22.3607 22.8254 23.3238 23.8537 24.4131 25 25.6125 26.2488 26.9072 27.5862 28.2843 29 29.7321 30.4795 31.241 32.0156 32.8024 33.6006 34.4093 35.2278 36.0555 36.8917 37.7359 38.5876 39.4462 40.3113 41.1825 42.0595 42.9418 43.8292 44.7214 45.618 46.5188 47.4236 48.3322 49.2443 50.1597 51.0784 52 52.9245 53.8516 54.7814 55.7136 56.648 57.5847 58.5235 59.4643 60.407 61.3514 62.2977 63.2456 64.195 65.146 66.0984 67.0522 68.0074 68.9638 69.9214 70.8802 71.8401 72.8011 73.7631 74.7262 75.6902 76.6551 77.6209 78.5875 79.555 80.5233 81.4923 82.4621 83.4326 84.4038 85.3756 86.3481 87.3212 88.295 89.2693 90.2441 91.2195 92.1954 93.1719 94.1488 95.1262 96.1041 97.0824 98.0612 99.0404 100.02 101
